acc_t,acc_x,acc_y,acc_z,gyr_t,gyr_x,gyr_y,gyr_z
0.0,0.00494384765625,0.0005340576171875,-1.00152587890625,81806.9842915,-0.0023949807509779,-0.0119469407945871,0.0056544234976172
0.010004999989178032,0.004669189453125,0.0005950927734375,-0.999908447265625,81806.99429650001,-0.0031710257753729,-0.0148511175066232,0.0039217709563672
0.020011000000522472,0.0051422119140625,0.000244140625,-1.0006103515625,81807.00430150001,-0.0049356361851096,-0.0128835747018456,0.0033795514609664
0.030015999989700504,0.0046844482421875,0.00146484375,-1.001373291015625,81807.0143065,-0.0032229574862867,-0.0147712230682373,0.0071274181827902
0.04002099999343045,0.004425048828125,0.002471923828125,-1.000946044921875,81807.0243115,-0.0030708911363035,-0.0141869252547621,0.0067290090955793
0.0500259999971604,0.0049285888671875,0.0020904541015625,-1.000564575195312,81807.03431650001,-0.0024234766606241,-0.0128912972286343,0.0061260694637894
0.060031000000890344,0.00506591796875,0.001190185546875,-1.000137329101562,81807.0443225,-0.0053862431086599,-0.0104494448751211,0.0062525696121156
0.07003599999006838,0.00653076171875,0.0018463134765625,-1.000076293945312,81807.05432750001,-0.0051135355606675,-0.013677729293704,0.0060469736345112
0.0800419999868609,0.004852294921875,0.001556396484375,-0.9997711181640624,81807.0643325,-0.0039577237330377,-0.0151667026802897,0.006337790749967
0.09004687498963904,0.0051116943359375,0.0016632080078125,-1.000946044921875,81807.0743375,-0.0017025588313117,-0.0120851583778858,0.0062770708464086
0.10005187499336898,0.004150390625,0.00189208984375,-1.001113891601562,81807.084342375,-0.0033073797821998,-0.0137605536729097,0.0057742656208574
0.11005687499709893,0.003326416015625,0.000946044921875,-0.999298095703125,81807.094348375,-0.0005270395777188,-0.0149206258356571,0.0063678845763206
0.12006187500082888,0.0053253173828125,0.001129150390625,-1.001251220703125,81807.104353375,-0.0065878615714609,-0.0137664126232266,0.0038240330759435
0.1300678749976214,0.005126953125,0.001007080078125,-1.001190185546875,81807.11435837501,-0.003435211488977,-0.0125019429251551,0.0062517705373466
0.14007287498679943,0.0043182373046875,0.0005035400390625,-0.9999847412109376,81807.124363375,-0.0042570629157125,-0.0110915331169962,0.0056086173281073
0.15007787499052938,0.005462646484375,0.000823974609375,-1.000457763671875,81807.134368375,-0.0040506678633391,-0.0138431116938591,0.0047228499315679
0.16008287499425933,0.0055694580078125,0.0012664794921875,-1.000091552734375,81807.144373375,-0.0051803807727992,-0.012073440477252,0.0068672271445393
0.17008787499798927,0.0050506591796875,0.00189208984375,-1.001922607421875,81807.154379375,-0.005583050660789,-0.0134939709678292,0.0039092539809644
0.1800928749871673,0.00494384765625,0.0007476806640625,-1.000839233398438,81807.164384375,-0.0046006105840206,-0.0136255305260419,0.0058445734903216
0.19009887499851175,0.0049591064453125,0.0008392333984375,-1.001724243164062,81807.17438937501,-0.0052882391028106,-0.0148580418899655,0.0056674731895327
0.20010387498768978,0.0041961669921875,0.0020599365234375,-1.001174926757812,81807.184394375,-0.003639209549874,-0.0131490910425782,0.0060714744031429
0.21010887499141973,0.004913330078125,0.0005645751953125,-1.00042724609375,81807.194399375,-0.003704457078129,-0.0128998197615146,0.0046354979276657
0.22011387499514967,0.0061798095703125,0.001739501953125,-1.000442504882812,81807.204405375,-0.0017600831342861,-0.012301673181355,0.0057673417031764
0.23011887499887962,0.004974365234375,0.00164794921875,-1.000595092773438,81807.214410375,-0.0069372681900858,-0.0125003457069397,0.0039904806762933
0.24012387498805765,0.004547119140625,0.0011749267578125,-1.001556396484375,81807.224415375,-0.0037976677995175,-0.0136409774422645,0.0060930461622774
0.2501298749994021,0.0044403076171875,0.001220703125,-1.000961303710938,81807.23442037501,-0.0028575719334185,-0.0153208989650011,0.0055388421751558
0.2601348749885801,0.0048065185546875,0.00140380859375,-1.002090454101562,81807.244425375,-0.0026402578223496,-0.0122920861467719,0.0042093922384083
0.27013987499231007,0.005828857421875,0.000946044921875,-1.001449584960938,81807.254430375,-0.0050685280002653,-0.0133509589359164,0.0055494951084256
0.28014487499604,0.0046539306640625,0.0013427734375,-0.9995269775390624,81807.264436375,-0.0077721690759062,-0.0137725379317998,0.0031462584156543
0.29014987499976996,0.0048370361328125,0.001251220703125,-1.0013427734375,81807.274441375,-0.0017334514996036,-0.0141975777223706,0.0068581723608076
0.3001558749965625,0.00494384765625,0.00189208984375,-1.0008544921875,81807.28444637501,-0.0015283881220966,-0.0124031398445367,0.0051771849393844
0.31016087500029244,0.0045928955078125,0.001983642578125,-1.000747680664062,81807.29445137501,-0.0042567965574562,-0.0135451033711433,0.0049569415859878
0.32016587498947047,0.0038909912109375,0.001007080078125,-1.000503540039062,81807.304456375,-0.0054203318431973,-0.0119253685697913,0.0056248623877763
0.3301708749932004,0.0045623779296875,0.001678466796875,-0.9994049072265624,81807.31446237501,-0.0049404301680624,-0.0139807965606451,0.0030826090369373
0.34017587499693036,0.00537109375,0.00103759765625,-1.000015258789062,81807.324467375,-0.0054735951125621,-0.0140875894576311,0.0054176687262952
0.3501808750006603,0.0054168701171875,0.001251220703125,-1.000656127929688,81807.334472375,-0.0059220711700618,-0.011134410277009,0.0085205174982547
0.36018687499745283,0.0046844482421875,0.002166748046875,-1.000946044921875,81807.34447737501,-0.0051076766103506,-0.0119221732020378,0.0078315576538443
0.3701918750011828,0.004608154296875,0.0009765625,-1.000213623046875,81807.354482375,-0.0040741036646068,-0.0130143351852893,0.0068991850130259
0.3801968749903608,0.0046539306640625,0.0016326904296875,-1.00018310546875,81807.364487375,-0.0067164921201765,-0.0139576271176338,0.0040788976475596
0.39020187499409076,0.00518798828125,0.0014801025390625,-1.000762939453125,81807.374493375,-0.0047590686008334,-0.0142516400665044,0.0053614759817719
0.4002068749978207,0.004486083984375,0.0016937255859375,-1.00079345703125,81807.384498375,-0.0058805258013308,-0.0110923321917653,0.0057194046676158
0.41021287499461323,0.00347900390625,0.0016937255859375,-1.001388549804688,81807.394503375,-0.0057404437102377,-0.0122180506587028,0.0063638896681368
0.4202178749983432,0.004669189453125,0.00091552734375,-1.000747680664062,81807.40450837501,-0.0043540019541978,-0.0125600006431341,0.0022117553744465
0.4302228749875212,0.0047454833984375,0.001953125,-1.000839233398438,81807.414513375,-0.0058166100643575,-0.0139528336003422,0.0049737198278307
0.44022787499125116,0.0055389404296875,0.0015716552734375,-1.000625610351562,81807.424518375,-0.0027768779546022,-0.0126215191558003,0.0056658750399947
